participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
271-2,5.377,6.112,0.223,1426,318,215
273-1,5.203,6.056,0.281,1128,317,197
273-2,5.743,6.651,0.2515,1535,386,241
276-1,9.783,11.546,0.2055,4978,1023,465
276-2,11.193,13.275,0.2521,3225,813,269
284-1,9.192,10.942,0.276,2098,579,208
284-2,9.271,10.922,0.2829,2015,570,192
285-1,8.294,9.589,0.2302,2029,467,231
285-2,7.557,8.714,0.2776,1531,425,185
286-1,7.882,9.294,0.4254,677,288,85
286-2,7.266,8.523,0.4077,802,327,109
287-1,4.349,4.987,0.2937,1345,395,298
287-2,4.313,5.0,0.2677,1468,393,326
303-1,6.727,7.901,0.1713,4011,687,575
303-2,7.192,8.376,0.2136,2879,615,375
305-1,9.581,11.556,0.2861,1646,471,160
305-2,9.166,10.886,0.2841,1721,489,175
307-1,4.653,5.102,0.251,1219,306,196
307-2,5.005,5.748,0.2739,1318,361,206
312-1,6.466,7.483,0.1844,1898,350,232
312-2,6.189,7.217,0.1963,1763,346,249
317-1,7.582,8.978,0.2467,2124,524,273
317-2,8.069,9.53,0.2456,2068,508,247
347-1,4.414,5.158,0.1504,1004,151,215
347-2,4.963,5.675,0.1503,1264,190,243
353-1,3.361,4.02,0.4347,750,326,202
353-2,3.69,4.592,0.4213,743,313,174
354-1,7.8,9.256,0.2686,1694,455,195
354-2,8.318,9.821,0.2468,2042,504,223
355-1,7.433,8.672,0.1524,5484,836,695
355-2,7.745,9.078,0.1065,9685,1031,1174
65-1,9.213,10.851,0.1365,13146,1795,1352
65-2,8.811,10.334,0.1084,22076,2392,2391
68-1,9.758,11.253,0.1789,4756,851,458
68-2,9.718,11.439,0.1719,5551,954,524
69-1,6.254,7.319,0.3388,1408,477,213
69-2,6.421,7.497,0.3351,1334,447,195
72-1,8.679,10.17,0.2188,1664,364,159
72-2,8.984,10.444,0.2074,2059,427,189
74-1,,,0.6667,3,2,0
74-2,,,,0,0,0
79-1,7.743,9.101,0.2537,2002,508,218
79-2,9.029,10.531,0.1841,3700,681,350
81-1,7.127,8.317,0.1476,10197,1505,1317
81-2,7.669,8.989,0.1227,15440,1894,1873
83-1,8.037,9.367,0.192,3802,730,403
83-2,8.2,9.485,0.2188,2898,634,305
84-1,11.382,13.124,0.1853,4340,804,364
84-2,11.673,13.667,0.1882,4170,785,342
85-1,7.548,8.9,0.323,1991,643,241
85-2,8.18,9.459,0.3845,1511,581,172
86-1,7.032,8.047,0.1534,5861,899,709
86-2,6.994,8.058,0.1844,3790,699,467
88-1,8.54,10.143,0.2871,2031,583,224
88-2,9.688,11.409,0.2235,3445,770,340
90-1,5.685,6.546,0.2994,1690,506,216
90-2,6.357,7.379,0.3143,1855,583,224
92-1,8.108,9.539,0.2003,5251,1052,609
92-2,9.515,11.193,0.2233,4724,1055,466
95-1,7.459,8.779,0.1046,18027,1885,2272
95-2,7.618,8.866,0.1379,9168,1264,1119
96-1,8.156,9.47,0.1376,4550,626,506
96-2,7.562,8.815,0.1718,3243,557,395
99-1,9.65,11.402,0.1764,5192,916,468
99-2,9.105,10.84,0.1882,4597,865,438
