session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
adler06a,0.0035499895,0.3,0.3176339,0.1429,0.9,0.1860222,0.3182,0.497756,0.2,0.7338,0.0055136583,0.0,0.18526141,0.0,1.0,0.31366256,0.4,0.36050156,0.22498876,0.8017,0.054284267,0.0,0.38407406,0.09857143,0.6478,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29978588,1.0,0.0,0.0,0.19092,0.32482606,0.27105927,0.14015181,0.48055458,0.32737967,0.014340639
adler08a,0.005351202,0.6,0.30165407,0.3143,0.5521,0.15350498,0.2727,0.41819665,0.1739,0.7052,0.0024326192,0.6,0.46315354,0.0,0.6429,0.39968804,0.4,0.45768026,0.4124794,0.6494,0.03212391,0.0,0.29814816,0.18628572,0.6541,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.83832973,1.0,0.0,0.0,0.44842,0.26927343,0.37046596,0.66376466,0.50404286,0.28401417,0.010872976
adler09a,0.0036900025,0.8,0.3905243,0.4167,0.545,0.14374901,0.8182,0.5430437,0.2556,0.6092,0.0028049503,1.0,0.34293947,0.0,0.7071,0.4225763,0.8,0.5575459,0.48522577,0.5603,0.031601544,0.0,0.38185188,0.26785713,0.5572,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9914347,1.0,0.0,0.0,0.4917,0.33869785,0.46070132,0.18780343,0.5358872,0.4006747,0.01159035
adler10a,0.0012412707,0.6,0.13400619,0.0,0.6789,0.070955075,0.1818,0.18359853,0.0455,0.7778,0.0020439865,0.4,0.28818443,0.5,0.8333,0.3352856,0.4,0.39005822,0.27268636,0.9167,0.026552614,0.0,0.23703705,0.119,0.8951,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5460385,1.0,0.0,0.0,0.14546,0.15354128,0.1789929,0.14015181,0.4958811,0.29676,0.0219229
adler11a,0.0016255775,0.2,0.116904974,0.0,1.0,0.035552934,0.0909,0.16850266,0.0,0.6349,0.0,0.0,0.08233841,0.0,1.0,0.09398473,0.0,0.11598746,0.0,0.1944,0.014869463,0.0,0.10851852,0.0,0.2875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17987151,1.0,0.0,0.0,0.08258,0.17261171,0.11667898,0.0,0.08935678,0.0868407,0.025529722
adler12a,0.004595239,0.8,0.26044297,0.3548,0.7124,0.19050579,0.7727,0.5458996,0.4048,0.7297,0.0043283594,0.8,0.3211198,0.1,0.7339,0.52538645,0.6,0.5450067,0.66656667,0.7198,0.088668,0.0,0.34851852,0.33614287,0.7977,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9314774,1.0,0.0,0.0,0.25284,0.20791538,0.5302686,0.34416804,0.3864157,0.3137953,0.01287718
adler13a,0.00186144,0.6,0.112699755,0.0,0.2704,0.09957442,0.0909,0.16442269,0.0109,0.3073,0.0012944668,0.6,0.11774392,0.0,0.6667,0.19600286,0.4,0.1728616,0.031948403,0.3652,0.01660047,0.0,0.16000001,0.0,0.6014,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59528905,1.0,0.0,0.0,0.2202,0.11617299,0.18099232,0.11190282,0.21884637,0.19246474,0.012910444
adler14a,0.004513641,0.6,0.22736193,0.3714,0.7245,0.06273104,0.3182,0.42350063,0.3,0.9833,0.003961539,0.8,0.29271305,0.3333,0.7255,0.49869895,1.0,0.39901477,0.30448478,0.6472,0.030672332,0.0,0.33037037,0.35714287,0.6848,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8865096,1.0,0.0,0.0,0.37174,0.1593903,0.35797495,0.22852594,0.42378566,0.3457502,0.007876349
adler15a,0.007473709,0.9,0.41435382,0.4545,0.6937,0.29163313,0.8636,0.6425949,0.3514,0.7453,0.0023959011,1.0,0.524084,0.0,0.4872,0.90008104,0.4,0.43663234,0.31063446,0.6426,0.03232966,0.0,0.35185185,0.27771428,0.644,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7719486,1.0,0.0,0.0,0.44978,0.46129605,0.43270382,0.41684514,0.48313996,0.41540727,0.0122037
adler16a,0.005363451,0.6,0.3299692,0.0769,0.5987,0.10966223,0.3636,0.41942063,0.1364,0.683,0.0043618926,0.6,0.39522436,0.0,0.8384,0.37659857,0.2,0.44155842,0.18749063,0.6087,0.034640696,0.0,0.3048148,0.08928572,0.7537,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61027837,1.0,0.0,0.0,0.45006,0.3062445,0.42377698,0.39577192,0.56161445,0.4589469,0.013039615
adler17a,0.004141075,0.7,0.17830111,0.12,0.7897,0.14439271,0.8182,0.26927784,0.102,0.6894,0.00031804957,1.0,0.2733635,0.0,0.7238,0.28908145,0.8,0.338558,0.28123593,0.6703,0.043298554,0.0,0.3025926,0.21228571,0.6757,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92719483,1.0,0.0,0.0,0.12176,0.16882731,0.2363191,0.1794616,0.3640849,0.31120872,0.0073888996
adler18a,0.002775431,0.5,0.27922627,0.2083,0.4196,0.09651691,0.2727,0.4373725,0.2273,0.6098,0.002219218,0.8,0.31906134,0.0,0.8889,0.23413512,0.4,0.43887147,0.29998502,0.8299,0.018557528,0.0,0.24074075,0.35714287,0.8187,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6381156,1.0,0.0,0.0,0.22562,0.18256378,0.35240042,0.38305172,0.5582095,0.26129612,0.019373976
adler19a,0.0017732686,0.1,0.19624336,0.0588,0.7857,0.013504814,0.0,0.33986127,0.0,0.0,0.00208627,0.6,0.2799506,0.0,0.9,0.18816036,0.0,0.4151366,0.0,0.9583,0.00791609,0.0,0.17444445,0.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20877945,1.0,0.0,0.0,0.0767,0.22066538,0.32458764,0.23865052,0.7643232,0.096645184,0.030415606
adler20a,0.008062899,0.8,0.34174377,0.3871,0.6377,0.18715115,0.4091,0.39371684,0.1481,0.656,0.009468252,0.8,0.32935363,0.1,0.951,0.48748615,0.2,0.63502014,0.25003752,0.6987,0.066488184,0.0,0.61333334,0.47614285,0.7006,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8447537,1.0,0.0,0.0,0.5168,0.25520957,0.4043205,0.31233674,0.72953856,0.65050864,0.009409488
adler21a,0.0035536697,0.5,0.35323805,0.3429,0.6468,0.17556584,0.8636,0.52427584,0.2041,0.6135,0.002737184,0.8,0.45286125,0.1429,0.5956,0.3920551,0.4,0.35826242,0.37498125,0.7391,0.044448882,0.0,0.29481483,0.19842857,0.669,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9400428,1.0,0.0,0.0,0.38766,0.41004285,0.4585715,0.23155883,0.41896972,0.29958525,0.011229152
adler23a,0.010305041,0.3,0.28090835,0.2921,0.5988,0.07520338,0.2273,0.41778865,0.4,0.6315,0.00052368216,0.2,0.3157678,0.3333,0.7321,0.59707606,0.2,0.42140615,0.53337336,0.661,0.0686126,0.0,0.44185185,0.3741429,0.6073,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49892935,1.0,0.0,0.0,0.43056,0.238793,0.40948212,0.13213514,0.50502294,0.41727138,0.014931384
adler24a,0.0050052977,0.6,0.33052987,0.4211,0.6951,0.20351791,0.2273,0.6160751,0.7,0.6853,0.0075602285,0.4,0.49403045,0.3333,0.8214,0.51231277,0.0,0.5629198,0.7499625,0.72,0.03450295,0.0,0.30962962,0.2857143,0.6684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.80942184,1.0,0.0,0.0,0.39002,0.3208234,0.40224501,0.27590847,0.5133621,0.207752,0.016133493
adler25a,0.0010030697,0.8,0.3689375,0.1622,0.58,0.043673296,0.7727,0.54793966,0.0968,0.5653,0.00076377246,0.8,0.6039522,0.0,0.7418,0.08626728,0.6,0.4590237,0.076946154,0.5363,0.007846109,0.0,0.5077778,0.16485715,0.6404,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.82869375,1.0,0.0,0.0,0.62284,0.3241364,0.5871439,0.6014531,0.6845307,0.6677826,0.02709487
2256_T4,0.008581548,0.8,0.27502105,0.6667,0.7179,0.40621915,0.8636,0.76907384,0.7037,0.7397,0.057121433,0.8,0.41169202,0.3333,0.9238,0.5368403,0.8,0.43708017,0.6226189,0.7927,0.049773317,0.0,0.36037037,0.6348572,0.7595,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.27502,0.18267728,0.56869256,0.29605672,0.4314151,0.34753695,0.020642933
2265_T4,0.0074145817,0.8,0.34679005,0.5263,0.7609,0.27083322,0.5909,0.50591594,0.3667,0.7876,0.006881078,0.8,0.3614656,0.2222,0.8916,0.5035997,0.8,0.56739813,0.59997004,0.8109,0.059475157,0.0,0.38925928,0.26371428,0.7886,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.32642,0.23479909,0.38266903,0.22128291,0.6542494,0.36162445,0.011365798
2312_T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119056694,0.0,0.3751852,0.45257145,0.7668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.0693,0.0,0.0,0.0,0.0,0.35517412,0.009422221
2334_T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06707265,0.0,0.28444445,0.27328572,0.6653,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.30254596,0.009939634
